name,price,description,image,category,badges,rating
Aceite de oliva,100.00,"Aceite de Oliva Extra Virgen • Prensado en Frío Descubre la esencia pura del aceite de oliva extra virgen , obtenido mediante prensado en frío para conservar intactos su sabor, aroma y propiedades nutritivas. Ideal para quienes buscan calidad, frescura y un producto 100% natural. Características principales: 🌿 Extra virgen – primera extracción en frío 🍃 100% natural – sin aditivos ni conservantes 🥗 Sabor afrutado con ligeras notas herbales 💚 Rico en antioxidantes y grasas saludables 📦 Presentación: Botella de vidrio para conservar su pureza Beneficios: Favorece la salud cardiovascular Aporta antioxidantes que combaten el envejecimiento celular Ideal para dietas mediterráneas y saludables Modo de consumo: Perfecto para ensaladas, aderezos, pastas, pan, y para dar un toque gourmet a cualquier platillo. Conservación: Almacenar en un lugar fresco y seco, protegido de la luz y el calor.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-23-35_6278552d-ed3b-4ac7-b2d3-8d9d885da403.jpg?v=1754695832,,,
Ajonjolí blanco  (135 g),45.00,"Disfruta de nuestro ajonjolí blanco, una semilla nutritiva y versátil que aporta minerales esenciales, vitaminas y ácidos grasos saludables. Es una excelente opción para quienes buscan cuidar su corazón y mantener una alimentación equilibrada y libre de gluten. Características e ingredientes principales: ⚪ 100% ajonjolí blanco orgánico y sin gluten 💚 Rico en calcio, hierro, magnesio y zinc 🌱 Contiene vitaminas A, B, C y E 💪 Fuente de omegas 3 y 6, que favorecen la salud cardiovascular 🍃 Alto contenido en fibra, ideal para una buena digestión Beneficios: ✨ Fortalece huesos y dientes gracias a su aporte de calcio ✨ Ayuda a mantener la salud del corazón y controlar el colesterol ✨ Aporta energía y mejora el funcionamiento del sistema inmunológico ✨ Perfecto para dietas saludables y sin gluten Modo de consumo: Agrégalo a panes, galletas o repostería saludable, úsalo como topping en ensaladas, sopas y yogurts, o inclúyelo en licuados para enriquecerlos con nutrientes naturales.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/ajonjoli_blanco_sinfondo.jpg?v=1765185448,,,
Ajonjolí negro (200 g),55.00,"Disfruta de nuestro ajonjolí negro, una semilla milenaria con grandes beneficios para la salud. Rico en omegas 3 y 6, fibra y proteína vegetal, es una opción nutritiva y natural para quienes buscan mejorar su alimentación sin gluten y de manera equilibrada. Características e ingredientes principales: ⚫ 100% ajonjolí negro orgánico y sin gluten 💚 Fuente natural de omegas 3 y 6, que ayudan a reducir colesterol y triglicéridos 🌱 Alto contenido en fibra, favorece la digestión y regula la función intestinal 💪 Aporta proteína vegetal y vitamina B6, esenciales para la energía diaria Beneficios: ✨ Contribuye a la salud cardiovascular ✨ Mejora la digestión y promueve el bienestar intestinal ✨ Proporciona energía natural y sostenible ✨ Ideal para dietas saludables, balanceadas y sin gluten Modo de consumo: Espolvorea en ensaladas, sopas o yogurts, úsalo en repostería saludable o agrégalo a tus licuados y batidos para un extra de nutrientes.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/Ajonjolinegro_sinfondo.jpg?v=1765185449,,,
Arroz integral (500 g),60.00,"Disfruta de nuestro arroz integral ecológico, una fuente natural de energía, fibra y nutrientes esenciales. Perfecto para quienes buscan una alimentación balanceada, saludable y consciente. Características e ingredientes principales: 🌾 100% arroz integral ecológico sin gluten 💪 Rico en fibra que fortalece el sistema inmunológico y digestivo 🌟 Fuente natural de minerales como potasio, hierro, calcio y fósforo 🔥 Bajo en calorías y grasas Beneficios: ✅ Favorece la digestión y la sensación de saciedad ✅ Contribuye al fortalecimiento del sistema inmunológico ✅ Aporta vitaminas esenciales (provitamina A, B1, B3 y B12) ✅ Ideal para dietas equilibradas y conscientes Modo de consumo: Perfecto como base para platillos, ensaladas, bowls o acompañamientos. Puedes disfrutarlo solo o combinado con tus verduras y proteínas favoritas.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/arrozintegral_sinfondo.jpg?v=1765185448,,,
Brocoli,100.00,"Brócoli Súper Delicioso • Listo para Ensaladas Disfruta de nuestro brócoli fresco y natural , cuidadosamente seleccionado para ofrecerte un producto crujiente, nutritivo y listo para preparar ensaladas deliciosas y saludables. Perfecto para una alimentación balanceada y llena de sabor. Características principales: 🥦 Producto fresco y natural 🍃 Listo para consumir en ensaladas 🌿 Sin aditivos ni conservantes 💪 Alto contenido en vitaminas y fibra Beneficios: Ayuda a fortalecer el sistema inmunológico Favorece la digestión y la salud intestinal Ideal para dietas saludables y vegetarianas Modo de consumo: Perfecto para ensaladas frescas, salteados o como snack saludable.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-30-143.jpg?v=1754695833,,,
Brownie sin azúcar-sin lácteos,0.00,"Brownie Sin Azúcar • Sin Lácteos • Saludable y Delicioso Disfruta de nuestro brownie artesanal , elaborado sin azúcar ni lácteos, ideal para quienes buscan un postre nutritivo y delicioso. Preparado con ingredientes naturales y nutritivos, perfecto para dietas conscientes y saludables. Ingredientes: Harina de amaranto Chocolate sin azúcar Bebida vegetal Jarabe de agave Huevo Características principales: 🚫 Sin azúcar añadido 🥛 Sin lácteos – apto para intolerantes 🌱 Ingredientes naturales y nutritivos 🍫 Rico sabor a chocolate 🔟 Contenido: 1 porción individual Beneficios: Alto en fibra y proteínas Endulzado naturalmente con jarabe de agave Apto para dietas libres de lácteos y con control de azúcar Modo de consumo: Ideal como postre o snack saludable para cualquier momento del día.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-23-363.jpg?v=1754695833,,,
Cacao orgánico 100% puro,110.00,"Disfruta de nuestro Cacao Orgánico 100% Puro, un superalimento natural que combina sabor intenso y beneficios para tu bienestar. Ideal para quienes buscan cuidar su salud sin renunciar al placer del chocolate auténtico. Características e ingrediente principal: 🌱 Elaborado con cacao orgánico 100% puro 🚫 Sin gluten ni aditivos 💛 Rico en antioxidantes y compuestos naturales 🌿 Producto natural y saludable, apto para todo tipo de dietas Beneficios: Favorece la circulación y ayuda a mantener la presión arterial equilibrada Promueve la producción de serotonina y endorfinas, generando sensación de bienestar Reduce la inflamación de manera natural Mejora la concentración, la memoria y la función cognitiva Modo de consumo: Úsalo en batidos, licuados, repostería o prepara una bebida caliente para disfrutar de su sabor intenso y sus beneficios.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/cacao_sinfondo.jpg?v=1765185448,,,
Café ecológico de exportación,100.00,"Café de Exportación – Granos de Arábica de Altura 100% Chiapas Disfruta de un café premium con nuestro Café de exportación , elaborado con granos de Arábica seleccionados estrictamente de altura, cultivados a 1200 metros sobre el nivel del mar en Chiapas, México. Este café ofrece un perfil de taza excepcional, con cuerpo medio, notas delicadas de frutos rojos y un resabio final a chocolate que deleitará tu paladar. Perfecto para los amantes del café que buscan calidad y sabor auténtico en cada taza. Características: 🌱 100% granos de café Arábica de altura 🇲🇽 Origen: Chiapas, México ⛰️ Cultivado a 1200 metros sobre el nivel del mar ☕ Perfil de taza: cuerpo medio, notas de frutos rojos y resabio a chocolate 📦 Presentación: Bolsa de 500 gramos, empaquetado para preservar frescura Recomendación de conservación: Conservar en lugar fresco y seco, preferentemente en envase hermético. Consumir preferentemente dentro de los 3 meses posteriores a la apertura para mantener su aroma y sabor óptimos.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-23-355.jpg?v=1754695833,,,
Cajeta sin azúcar (400 ml),210.00,"Disfruta de nuestra cajeta endulzada con fruto del monje, con un bajo índice glucémico y totalmente libre de lácteos. Una opción saludable y deliciosa para quienes buscan cuidar su alimentación sin renunciar al sabor. Características e ingrediente principales: 🥥 Hecha con leche de coco orgánica 🍬 Endulzada con fruto del monje (bajo índice glucémico) 🚫 Sin lácteos ni azúcar refinada 🌱 Opción saludable y natural Beneficios: Ideal para personas con intolerancia a la lactosa o que no consumen azúcar Ayuda a mantener niveles estables de glucosa Perfecta para dietas balanceadas y conscientes Modo de consumo: Úsala como topping en hot cakes, fruta, postres o disfrútala sola a cucharadas.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/cajeta_sinfondo.jpg?v=1765185448,,,
Cereal de Maíz Sin gluten y sin azúcar,100.00,"Cereal de Maíz – Sin Gluten ni Azúcar (300 g) Disfruta de un desayuno sano y natural con nuestro Cereal de Maíz , elaborado únicamente con granos de maíz integral seleccionados. Este cereal es libre de gluten y sin azúcares añadidos , sin conservantes ni sabores artificiales, para que saborees lo auténtico y crujiente en cada cucharada. Características principales: 🌽 Ingredientes: 100% maíz integral 🚫 Sin gluten — apto para dietas celíacas y sensibles al gluten ❌ Sin azúcares añadidos 🌱 Sin conservantes ni aditivos químicos 💪 Fuente natural de energía y fibra 📦 Presentación: Bolsa de 300 g Modo de consumo: Perfecto con leche, yogurt, bebidas vegetales o como topping en bowls de fruta. Ideal para un desayuno equilibrado o un snack crujiente. Conservación: Conservar en lugar fresco y seco. Tras abrir, mantener en envase hermético para preservar frescura y crocancia.",https://cdn.shopify.com/s/files/1/0919/6093/4786/files/PHOTO-2025-08-08-21-22-04_46e4132a-024e-42f1-9837-efab4982bb22.jpg?v=1754695832,,,
